url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart
http://www.billboard.com/charts/hot-100/1998-10-03,10/3/1998,61,Only When I Lose Myself,Depeche Mode,Only When I Lose MyselfDepeche Mode,1,,61,1
http://www.billboard.com/charts/hot-100/2001-12-08,12/8/2001,61,7 Days,Craig David,7 DaysCraig David,1,,61,1
http://www.billboard.com/charts/hot-100/2003-03-22,3/22/2003,61,Rock Your Body,Justin Timberlake,Rock Your BodyJustin Timberlake,1,,61,1
http://www.billboard.com/charts/hot-100/2003-12-13,12/13/2003,61,Remember When,Alan Jackson,Remember WhenAlan Jackson,1,,61,1
http://www.billboard.com/charts/hot-100/2004-06-26,6/26/2004,61,Accidentally In Love,Counting Crows,Accidentally In LoveCounting Crows,1,,61,1
http://www.billboard.com/charts/hot-100/2004-07-03,7/3/2004,61,Pieces Of Me,Ashlee Simpson,Pieces Of MeAshlee Simpson,1,,61,1
http://www.billboard.com/charts/hot-100/2004-08-28,8/28/2004,61,Stays In Mexico,Toby Keith,Stays In MexicoToby Keith,1,,61,1
http://www.billboard.com/charts/hot-100/2004-12-11,12/11/2004,61,Nobody's Home,Avril Lavigne,Nobody's HomeAvril Lavigne,1,,61,1
http://www.billboard.com/charts/hot-100/2006-11-11,11/11/2006,61,Save Room,John Legend,Save RoomJohn Legend,1,,61,1
http://www.billboard.com/charts/hot-100/2007-02-17,2/17/2007,61,Dashboard,Modest Mouse,DashboardModest Mouse,1,,61,1
http://www.billboard.com/charts/hot-100/2007-09-29,9/29/2007,61,1234,Feist,1234Feist,1,,61,1
http://www.billboard.com/charts/hot-100/2008-04-05,4/5/2008,61,Roll,Flo Rida Featuring Sean Kingston,RollFlo Rida Featuring Sean Kingston,1,,61,1
http://www.billboard.com/charts/hot-100/2009-07-18,7/18/2009,61,So Fine,Sean Paul,So FineSean Paul,1,,61,1
http://www.billboard.com/charts/hot-100/2009-10-10,10/10/2009,61,Doesn't Mean Anything,Alicia Keys,Doesn't Mean AnythingAlicia Keys,1,,61,1
http://www.billboard.com/charts/hot-100/2009-11-07,11/7/2009,61,Southern Voice,Tim McGraw,Southern VoiceTim McGraw,1,,61,1
http://www.billboard.com/charts/hot-100/2010-05-15,5/15/2010,61,Beautiful,Glee Cast,BeautifulGlee Cast,1,,61,1
http://www.billboard.com/charts/hot-100/2010-05-22,5/22/2010,61,Run Joey Run,Glee Cast Featuring Jonathan Groff,Run Joey RunGlee Cast Featuring Jonathan Groff,1,,61,1
http://www.billboard.com/charts/hot-100/2010-11-20,11/20/2010,61,"Bon, Bon",Pitbull,"Bon, BonPitbull",1,,61,1
