id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,_art_year
106280,Dark Tower,Dark Tower,en,A partially under construction office tower is being haunted by a deadly presence which seems to target the building's architect.,In a city that never sleeps... this building is a nightmare.,1987-10-29,/bPyMsdNGgt42xdbgpBhvElJfViW.jpg,3.806,12,3.6,0,0,91,Released,False,/zJhGAmSLyx2KzMRNkYu9NJ8qMxJ.jpg,"Horror, Thriller",,,1987
253205,Deadly Weekend,Deadly Weekend,en,"Two young couples take one last trip to the country before moving to different cities. Unfortunately, when secrets come out and jealously takes a toll the weekend takes an unexpected and deadly turn for the worst.",You Won't Make It To Monday,2013-08-09,/9dbEAsp7Kg9ypMkudAREUNFNsZs.jpg,3.806,29,2.9,170000,0,82,Released,False,/6yFlhma7Y912Nmm46ZCnPIJiQP7.jpg,"Horror, Thriller",,,2013
342896,I-Lived,I-Lived,en,"Josh Fosse is a 20something guy whose life is going nowhere. His girl left, his rent is late, and he lacks a real job. He is trying to make it as an app reviewer online and decides to review a self help app called i-Lived for fun. He's signs on and immediately his life turns around. He meets the girl of his dreams and he gets a job offer he can't refuse. Convinced it's him and not the app, he signs out... and loses everything. He signs on again but this time the terms are different, the app is asking him to do things that are out of his moral comfort zone... but essential to becoming the success the app tells him he can be.",,2015-07-03,/oIJ9K9QEOW71tKqAcbd0sq8NXuE.jpg,3.806,30,4.2,0,0,97,Released,False,/7jwZ2QRlh6ngYNcFBPudEHxQe4F.jpg,"Horror, Mystery, Thriller",,,2015
46158,Holocaust 2000,Holocaust 2000,en,An executive in charge of a nuclear power plant in the Mid-East must stop his son-- who turns out to be the Anti Christ -- from blowing it up.,He will destroy the world. No man can stop him. No man will even try. He is The Chosen.,1977-11-25,/leolSyDotDFWoaZ5xmmVrz0VUyD.jpg,3.804,36,5.9,0,0,106,Released,False,/6oXPWrx4jwFatUHDFHB83AUwE2k.jpg,"Drama, Horror, Science Fiction",,,1977
252455,Code Red,Code Red,en,"A female doctor struggling to find her daughter after a long lost World War II biological weapon explodes on a U.S. military base in Bulgaria, turning people into mutant zombies.",All must die,2013-09-24,/7gfPx5Yk8ljzM1kMrxJO2VlEByD.jpg,3.804,28,4.5,3000000,0,91,Released,False,,Horror,,,2013
955569,"Arthur, malédiction","Arthur, malédiction",fr,Alex is an 18 year old young man. He has been a big fan of the Arthur and the Minimoys fantasy film saga for years. Then his group of friends suggests that he goes to the abandoned house where the film was shot. They are unaware that they are about to fall into a deadly plot.,,2022-06-29,/3Hdjclma1lkMeJDsA7VfpOY4Jrd.jpg,3.804,40,2.7,2400000,0,0,Released,False,/atCcdBQ5gBMBOTRF4X3rj5ZOZqh.jpg,"Fantasy, Horror",,,2022
648467,La fiesta silenciosa,The Silent Party,es,"The day before their wedding, Laura and Daniel go to her family country house. The couple is under a lot stress. She decides to take a walk, and ended in the young neighbour's house, where a silent party is taking place. What started like a fun night, quickly escalates in a violent and horrible experience.",,2019-11-11,/bCkcxqUdHmvHKdaSvHTOWU00WBv.jpg,3.803,14,5.7,0,0,87,Released,False,/l1H8RWF4dA3XHilpMmmTXTWUoa1.jpg,"Horror, Thriller",,,2019
27664,The Phantom Empire,The Phantom Empire,en,"Lost city explorers find mutants, cavegirls, dinosaurs and a leather clad space queen.",,1988-01-01,/v1C81XbB9YzGhOYI8kstFtc7i1v.jpg,3.801,10,3.3,0,0,83,Released,False,/eo8k7vVOKrQEu7qPqJhnJFmTUJa.jpg,"Adventure, Fantasy, Horror, Science Fiction",,,1988
40357,淫獣教師　III　実写版,Angel of Darkness 3,ja,"Manami, the sole survivor of Angel of Darkness 2, is rushed to hospital where she slips into a deep sleep. A priest correctly suspects that the demon (now referred to as an Injuu) is inside Manami's body, but by the time he is able to confirm his theory, the creature has already moved on. As before, the tentacled beastie passes from host to host (by thrusting its slimy appendages into its victims' orifices), eventually ending up inside goody-goody schoolgirl Fumie, who does her best 'Linda Blair' impersonation for a while, before the priest inevitably turns up to save the day.",,1996-03-08,/6e5bVJGFYkplC9awYmMnLTIqxOf.jpg,3.8,2,2.5,0,0,72,Released,False,/wLeqiLakttOxKIxYW3EMZ6uY4I0.jpg,Horror,672767.0,Angel of Darkness Collection,1996
62182,AMON デビルマン黙示録,Devilman - Volume 3: Devilman Apocalypse,ja,"Fear runs rampant throughout Tokyo with the revelation that demons in fact exist amongst us. Paranoia and the darker side of humanity boils onto the streets as people turn on one another, suspecting that anyone could in fact be a demon hiding in human clothing. Amidst the growing tensions, tragedy strikes Akira causing his mind to snap, retreating into his subconscious, allowing his Devilish alter-ego Amon to break free from Akira's cage of flesh and wreak havoc on both human and demons alike.",,2000-04-24,/jFqY8LaZLrn0uCiOuqZ2ebiSRkn.jpg,3.799,29,6.8,0,0,46,Released,False,/vpkZzt74LrAiCsrUs3Wz28Zl9Cx.jpg,"Animation, Fantasy, Horror",,,2000
33274,Street Fighter - Round One - FIGHT!,Street Fighter - Round One - FIGHT!,en,"In Round One - FIGHT!: Ryu and Ken find themselves setting out to investigate the murder of their martial arts master. Their search for answers takes them to Japan where M. Bison and his assorted minions including Cammy, Vega, and Sagat keep a close eye on Ryu for reasons unknown.",,2009-02-03,/mbSW30poDgsjEVXWQdh9So5k8sf.jpg,3.798,10,4.1,0,0,80,Released,False,/bGgUEdjCv7xIN2DSulRzIAKh9Z3.jpg,"Animation, Fantasy, Horror, Science Fiction",190435.0,Street Fighter (Animated) Collection,2009
82466,Chop,Chop,en,"Lance Reed is forced by a psychotic stranger to confront his duplicitous past. Seeking retribution for a crime, the man forces Lance to reveal his inner most secrets by systematically removing his limbs.",An Eye For An Eye ... And Then Some,2011-05-07,/cBK9IGByKZuGh1kHIkFOUjaoH3U.jpg,3.798,30,5.7,0,0,98,Released,False,,"Comedy, Horror, Thriller",,,2011
5752,Killer Workout,Killer Workout,en,"Two years ago, a young woman named Valerie was burned after entering a tanning salon. Now, Rhonda runs a local gym where all of a sudden, people are being murdered.",The workout will kill you!,1987-04-16,/rzc3kwNze4Cy4Mqp8VntA6KPCYA.jpg,3.795,49,5.0,0,0,84,Released,False,,"Horror, Thriller",,,1987
46522,The Aftermath,The Aftermath,en,"After a lengthy space mission, two astronauts (Steve Barkett and Larry Latham) return to an Earth transformed by nuclear war. As renegade gangs and mutants rule Los Angeles, the astronauts join two pretty women and a couple of kids in a growing resistance movement. This sci-fi adventure follows the men as they battle bell-bottomed biker leader Cutter and his brutal gang.",What comes after World War III?,1982-01-01,/lR7H61fx5Mn9cUq8oqT1moDBgxK.jpg,3.795,31,4.3,250000,0,95,Released,False,/dZn66IIpFvamJ0prsku0zfoEQ54.jpg,"Action, Adventure, Horror, Science Fiction",,,1982
78239,Full Eclipse,Full Eclipse,en,"The LA police department have a special team of officers with a talent for reducing big-time crime. The team leader has an excellent track record for crime reduction in other big cities, but his methods are unconventional, and so is he - he's a werewolf.",,1993-11-27,/lCtgDrPfhdeIhqRanyAYVG59Ew7.jpg,3.795,28,5.0,0,0,93,Released,False,/6YUFDHPBdgEQ5VPlHatUnvf4xiY.jpg,"Action, Horror, TV Movie",,,1993
280191,വിസ്മയത്തുമ്പത്ത്,Vismayathumbathu,ml,"Sreekumar comes to meet his friend, Govindan Kutty. He meets Reetha Mathews , whom he initially mistakes to be a prostitute. But he is shocked when he learns the truth about her.",,2004-04-09,/2NsRyFONlxQTRzXWhvvAwEFz7JR.jpg,3.795,5,4.6,0,0,149,Released,False,/jaqx7exZpxk17wlx6cZgkToAuXt.jpg,"Horror, Mystery",,,2004
27905,L'isola degli uomini pesce,Island of the Fishmen,it,"After their prison ship sinks in the Caribbean, a group of prisoners and a doctor wash ashore on a seemingly deserted island. They soon discover a strange couple, who invite them to stay at their house. While the prisoners plan an escape, the doctor does some investigating, and soon finds out just what the pair are really doing, and why the prisoners keep disappearing mysteriously.",Killers from the deep guard the forbidden treasures on...,1979-01-18,/2dGimKcY0GRgtg3VornTqGUN9L0.jpg,3.794,51,5.6,0,0,93,Released,False,/klYg6tPTOZAjuIt5RidSBfZDyxA.jpg,"Horror, Science Fiction",842877.0,Island of the Fishmen Collection,1979
86215,The Cloth,The Cloth,en,Action/horror story centered on a secret organization formed by the Catholic Church to counteract the rising number of cases of demonic possessions across the country. The story follows a young godless man who is being recruited into the cloth in order to prepare a new generation with the tools needed to stop the rise of the ultimate evil; Beelzebub.,"The battle for your soul, has begun!",2012-10-28,/O0Zh3SIeAonwDoC6cQF8En0inl.jpg,3.794,25,2.6,2000000,0,88,Released,False,,"Action, Fantasy, Horror",,,2012
112170,Şeytan,Satan,tr,12 year-old Gul becomes possessed by Satan after experimenting with a Ouija board. A troubled psychiatrist and an experienced exorcist become the girl’s only hope for salvation.,,1974-01-01,/gjx9XtKOIbL6CAC8CvaShjCkdBZ.jpg,3.794,18,5.4,0,0,100,Released,False,/mgmewe5TKTEI2S8jSo306UcP0x3.jpg,Horror,,,1974
30767,Eternal,Eternal,en,"Detective Raymond Pope is a detective of questionable morals, searching for his missing wife. His investigation leads him to the wealthy estate of the enigmatic Elizabeth Kane and her young maid Irina. Under Elizabeth's fascinating looks and aristocratic manners hides a terrifying secret,shared by her companion Irina. As Detective Pope finds himself perversely drawn to the powerful Elizabeth, bodies begin to surface, his inquiries only deepening the mystery surrounding Elizabeth's past. Pope's obsession grows so intense that he completely fails to anticipate Elizabeth's reaction to his intrusion into her dark world, a fatal mistake that might cost him his life and the lives of those close to him.",,2004-09-24,/1jhHwF0sMoi8fcmiZh1TAFfG7vF.jpg,3.793,20,3.7,0,0,107,Released,False,/jK4x6pqGXTcbSnoQBjFapNVdGcF.jpg,"Drama, Horror, Mystery, Thriller",,,2004
48753,Cannibal,Cannibal,en,"Cannibal is based on the true-crime story of Armin Meiwes, the ""Rotenburg Cannibal"" who posted an online ad searching for someone to volunteer to be mutilated and eaten. Unlikely as it may seem, someone actually replied. The film shows a fictional portrayal of the meeting between the cannibal and his victim/participant, their homosexual relationship, and the eventual mutilation and murder of said victim.",,2006-12-05,/61JCuNGRTrPWFIPuqSNaQ5Lz5Ve.jpg,3.793,33,5.7,0,0,89,Released,False,/62rGPICStsCJiH1Tmu5G8UjLR4Y.jpg,"Crime, Drama, Horror, Thriller",,,2006
121071,No Tell Motel,No Tell Motel,en,Dirty little secrets are exposed when five friends become stranded at an abandoned motel haunted by a dark secret of its own.,,2012-10-09,/fXGDbNO5wsmGO6gyA4KL0BvXG04.jpg,3.793,28,4.3,3000000,0,92,Released,False,/tWJOt6R3sQApv9MNDSDRGuckxlX.jpg,Horror,,,2012
472717,D.,The Documentary,en,"D. stalks Sandra but she doesn't know it. She does think that D. is a documentary filmmaker having her be in film about conquering fear. Little does she know that D. is not who he claims to be, and far worse.",,2017-08-22,/g56xy5bCuVwD5IRV2MGlQXBEoD2.jpg,3.793,32,6.1,0,0,82,Released,False,/wY4F31wYfMADi6wiTMrgsyzWinr.jpg,"Horror, Thriller",,,2017
