week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,synopsis,start_date
2009-03-08,41,14270631.0,Hair,Al Hirschfeld Theatre,404387.0,702828.0,66.47,252.0,6084,1412,0.8618,0,5,,
2009-03-15,42,16136907.0,Irena's Vow,Walter Kerr Theatre,185991.0,603763.0,45.44,150.0,4093,947,0.5403,0,8,"Based on a true story, Irena's Vow follows Irena Gut, a Catholic nurse sentenced to slave labor during the German occupation of Poland. As a housekeeper for a prominent German officer, Irena risks her life to hide 12 Jewish refugees in the officer's cellar.",
2009-03-15,42,16136907.0,Reasons to Be Pretty,Lyceum Theatre,38297.0,223879.0,37.0,225.0,1035,910,0.3791,0,3,"Greg makes an off-handed remark calling his co-worker ""pretty"" and his girlfriend ""regular."" The unflattering comparison makes its way back to the girlfriend and throws his tight-knit social circle into turmoil.",
2009-03-22,43,17391272.0,Rock of Ages,Helen Hayes Theatre,229602.0,431938.0,39.55,175.0,5805,979,0.9883,0,6,"The original Broadway smash-hit production, Rock of Ages, is back to celebrate its 10th anniversary.",
2009-03-29,44,17119943.0,Next to Normal,Booth Theatre,124188.0,291595.0,51.0,200.0,2435,772,0.7885,0,4,"In this contemporary musical and winner of the 2010 Pulitzer Prize for Drama, a suburban household copes with crisis and the unpredictability of a mother's worsening bipolar disorder.",
2009-04-05,45,16940158.0,Mary Stuart,Broadhurst Theatre,146353.0,689649.0,45.66,225.0,3205,1152,0.3974,0,7,,
2009-04-05,45,16940158.0,Waiting for Godot,Studio 54,204485.0,339027.0,55.45,116.5,3688,1004,0.9183,0,4,"In Samuel Beckett's absurdist masterpiece, two tramps wait perpetually for an enigmatic figure in a blurred universe where time, place and memory defy conventional logic.",
2009-04-12,46,21432403.0,9 to 5,Marquis Theatre,505671.0,980219.0,52.34,300.0,9661,1611,0.9995,0,6,"Three women — an overworked office manager, a jilted wife, and an objectified secretary — conspire to depose their smarmy boss and begin making woman-friendly changes in the workplace. Based on the 1980 hit movie.",
2009-04-12,46,21432403.0,Accent on Youth,Samuel J. Friedman Theatre,145549.0,395742.0,49.76,95.0,2925,650,0.6429,0,7,"A successful playwright in his 50s finds love and inspiration in his much-younger secretary. But when his new muse becomes a leading lady in his latest play, she begins to fall for her costar, a man closer to her age.",
2009-04-12,46,21432403.0,The Norman Conquests,Circle in the Square Theatre,96012.0,532350.0,51.84,175.0,1852,780,0.3392,0,7,"The self-contained comedies in Ayckbourn's trilogy depict Norman in ardent pursuit of his sister-in-law, shown from three different perspectives in the family's country home: In Table Manners, the action is seen from the dining room.",
2009-04-12,46,21432403.0,The Philanthropist,American Airlines Theatre,119727.0,270103.0,46.05,111.5,2600,740,0.8784,0,4,"A disengaged university professor cheerfully ponders anagrams, academia and the meaning of life. Meanwhile, in the outside world, the Prime Minister and his cabinet have been assassinated, and England's finest writers are being killed.",
2009-04-19,47,21303553.0,Desire Under the Elms,St. James Theatre,199120.0,1070492.0,48.25,252.0,4127,1403,0.3677,0,8,"In Eugene O'Neill's modern retelling of Greek tragedy, a widowed farmer brings home a young bride. Initially his grown son abhors the new stepmother, but soon his hatred turns to lust.",
2009-07-26,9,19929450.0,Burn the Floor,Longacre Theatre,99456.0,198028.0,49.33,173.5,2016,1062,0.9492,0,2,"Burn the Floor takes a modern look at ballroom dancing, blended with Latin dance and updated with jive, tango, swing, and samba.",
2009-09-13,16,15410137.0,A Steady Rain,Gerald Schoenfeld Theatre,767663.0,636970.0,143.35,375.0,5355,1071,1.0,0,5,"A Steady Rain explores love and rage on the streets of Chicago, as a routine domestic disturbance call sends two Chicago cops on a harrowing journey that will test their loyalties and change their lives.",
2009-09-13,16,15410137.0,Bye Bye Birdie,Henry Miller's Theatre,346029.0,618670.0,67.73,,5109,1023,0.9988,0,5,"The MacAfee family and the residents of Sweet Apple, Ohio, go topsy-turvy when teen idol Conrad Birdie comes to town to serenade one lucky fan before he enters the Army.",
