WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LAT_WWTP,LON_WWTP,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
4018,1,1282987,FICAROLO_VIA_BELFIORE,Italy,ITA,44.96,11.448,2,44.931,11.548,Not Reported,2071,2,409.984,4,Advanced,1,371882.193,20505340.0,1764.647,0,0,4000.0,2
4019,1,1282988,FIESSO_UMBERTIANO_VIA_CERDI,Italy,ITA,44.969,11.608,2,44.998,11.702,Not Reported,2386,2,472.343,4,Advanced,1,1089.727,20503863.0,5.952,0,0,4000.0,2
4020,1,1282989,FIESSO_UMBERTIANO_VIA_RONCALE,Italy,ITA,44.971,11.631,2,44.998,11.731,Not Reported,477,2,94.429,4,Secondary,1,5536.584,20503863.0,6.05,0,0,1000.0,2
4021,1,1282990,FITODEPURAZIONE_DI_TREVIGNANO_VIA_MONTEBIANCO,Italy,ITA,45.751,12.089,2,45.656,12.106,Not Reported,54,2,10.69,4,Secondary,1,3508.7,20489531.0,0.434,0,1,170.0,2
4022,1,1282991,FITODEPURAZIONE_DI_TREVIGNANO_VICOLO_VENEZIA,Italy,ITA,45.735,12.069,2,45.64,12.06,Not Reported,39,2,7.721,4,Secondary,1,19081.346,20489330.0,1.705,0,1,120.0,2
4023,1,1282992,FOLLINA_VIA_GAVA,Italy,ITA,45.948,12.122,2,45.873,12.185,Not Reported,871,2,172.427,4,Secondary,1,1284.771,20484056.0,2.562,0,0,500.0,2
4024,1,1282993,FONTANELLE_LOC_LUTRANO_VIA_BOSCO,Italy,ITA,45.813,12.479,2,45.769,12.569,Not Reported,503,2,99.576,4,Advanced,1,4657.827,20488138.0,5.367,0,1,700.0,2
4025,1,1282994,FONTANELLE_VIA_DEI_MORTI,Italy,ITA,45.808,12.478,2,45.769,12.573,Not Reported,245,2,48.501,4,Secondary,1,9574.22,20488138.0,5.374,0,1,400.0,2
4026,1,1282995,FONTANELLE_VIA_ROMA,Italy,ITA,45.829,12.475,2,45.773,12.56,Not Reported,717,2,141.941,4,Advanced,1,3258.793,20488138.0,5.352,0,1,1000.0,2
4027,1,1282996,FONTE_VIA_CASTELLANA,Italy,ITA,45.774,11.876,2,45.702,11.898,Not Reported,1551,2,307.043,4,Advanced,1,912.716,20488501.0,3.24,0,0,2000.0,2
4028,1,1282997,FONZASO_FENADORA,Italy,ITA,46.001,11.805,2,45.931,11.735,Not Reported,3611,2,714.85,4,Advanced,1,1815.902,20482160.0,15.016,0,0,4400.0,2
4029,1,1282998,FORNO_DI_ZOLDO_SCUSSIEI,Italy,ITA,46.346,12.191,2,46.269,12.256,Not Reported,996,2,197.173,4,Advanced,1,2094.694,20474236.0,4.778,0,0,1400.0,2
4030,1,1282999,PEDEROBBA_VIA_FELTRINA,Italy,ITA,45.873,11.967,2,45.865,12.002,Not Reported,3336,2,660.409,4,Advanced,1,10589.034,20483960.0,80.931,0,0,3000.0,2
4031,1,1283000,PERNUMIA_VIA_BEVARARA,Italy,ITA,45.262,11.79,2,45.227,11.885,Not Reported,7439,2,1472.658,4,Advanced,1,51.69,20498889.0,0.864,0,1,7500.0,2
4032,1,1283001,PESCANTINA_SETTIMO,Italy,ITA,45.468,10.912,2,45.481,10.931,Not Reported,2685,2,531.535,4,Advanced,1,29059.58,20493449.0,178.769,0,0,3000.0,2
4033,1,1283002,PESCANTINA_TREMOLE_,Italy,ITA,45.473,10.877,2,45.481,10.931,Not Reported,10741,2,2126.336,4,Advanced,1,7264.969,20493449.0,178.769,0,0,12000.0,2
4034,1,1283003,POVEGLIANO_VERONESE_VIA_NOGAROLE_ROCCA,Italy,ITA,45.34,10.888,2,45.256,10.935,Not Reported,35000,2,6928.757,4,Advanced,1,36.888,20498750.0,2.878,0,0,50000.0,2
4035,1,1283004,POZZONOVO_VIA_VALLASE,Italy,ITA,45.164,11.797,2,45.152,11.898,Not Reported,3596,2,711.88,4,Advanced,1,959.692,20500675.0,7.899,0,1,14700.0,2
4036,1,1283005,PRAMAGGIORE_BLESSAGLIA,Italy,ITA,45.801,12.721,2,45.715,12.777,Not Reported,2500,2,494.911,4,Advanced,1,434.125,20488404.0,2.481,0,1,4500.0,2
4037,1,1283006,PREGANZIOL_VIA_SCHIAVONIA,Italy,ITA,45.59,12.241,2,45.56,12.335,Not Reported,12606,2,2495.54,4,Advanced,1,,20491533.0,,1,1,13000.0,2
4038,1,1283007,QUARTO_D_ALTINO_VIA_MARCONI,Italy,ITA,45.578,12.379,2,45.56,12.473,Not Reported,43877,2,8686.087,4,Secondary,1,,20491024.0,,1,1,50000.0,2
4039,1,1283008,QUINTO_DI_TREVISO_VIA_NOGARE_,Italy,ITA,45.64,12.175,2,45.635,12.273,Not Reported,6813,2,1348.732,4,Advanced,1,164.866,20489433.0,2.558,0,1,11000.0,2
4040,1,1283009,QUNTO_VICENTINO_F_LANZE_VIA_PALLADIO,Italy,ITA,45.584,11.664,2,45.502,11.602,Not Reported,114,2,22.568,4,Advanced,1,52083.071,20492605.0,13.604,0,0,150.0,2
4041,1,1283010,QUNTO_VICENTINO_VIA_GIOVANNI_PAOLO_I,Italy,ITA,45.584,11.665,2,45.502,11.602,Not Reported,114,2,22.568,4,Advanced,1,52083.071,20492605.0,13.604,0,0,150.0,2
4042,1,1283011,QUNTO_VICENTINO_VIA_XX_SETTEMBRE,Italy,ITA,45.569,11.631,2,45.498,11.602,Not Reported,1137,2,225.086,4,Advanced,1,5227.555,20492605.0,13.616,0,0,1500.0,2
4043,1,1283012,REFRONTOLO_VIA_COSTA,Italy,ITA,45.923,12.202,2,45.852,12.185,Not Reported,534,2,105.713,4,Advanced,1,70822.286,20485612.0,86.652,0,1,600.0,2
4044,1,1283013,REVINE_LAGO_LAGO,Italy,ITA,45.976,12.199,2,45.881,12.181,Not Reported,4657,2,921.921,4,Advanced,1,205.866,20483619.0,2.186,0,0,5000.0,2
4045,1,1283014,ROANA_LOC_ARMISTIZIO,Italy,ITA,45.84,11.464,2,45.848,11.373,Not Reported,250,2,49.491,4,Secondary,1,6715.223,20484248.0,3.846,0,0,400.0,2
4046,1,1283015,ROANA_LOC_CAMPOROVERE,Italy,ITA,45.882,11.479,2,45.848,11.381,Not Reported,188,2,37.217,4,Secondary,1,8885.379,20484248.0,3.827,0,0,300.0,2
4047,1,1283016,ROANA_LOC_CESUNA,Italy,ITA,45.837,11.456,2,45.848,11.373,Not Reported,75,2,14.847,4,Secondary,1,22381.742,20484248.0,3.846,0,0,120.0,2
