set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,fig_num,name_num_parts_r,img_url_num_parts_r,_art_year
10152-1,Maersk Sealand Container Ship 2004 Edition,2004,673,988,https://cdn.rebrickable.com/media/sets/10152-1.jpg,,,4530,1,,,,2004
10155-1,Maersk Line Container Ship 2010 Edition,2010,673,990,https://cdn.rebrickable.com/media/sets/10155-1.jpg,,,15567,1,,,,2010
10156-1,LEGO Truck,2004,50,105,https://cdn.rebrickable.com/media/sets/10156-1.jpg,,,5170,1,,,,2004
10157-1,High Speed Train Locomotive,2004,105,143,https://cdn.rebrickable.com/media/sets/10157-1.jpg,,,12800,1,,,,2004
10158-1,High Speed Train Car,2004,105,161,https://cdn.rebrickable.com/media/sets/10158-1.jpg,5358.0,2.0,4169,1,,,,2004
10159-1,City Airport,2004,53,914,https://cdn.rebrickable.com/media/sets/10159-1.jpg,,,9001,1,,,,2004
10160-1,Black Ridge Roof Tiles,2004,254,48,https://cdn.rebrickable.com/media/sets/10160-1.jpg,,,16384,1,,,,2004
10161-1,Black Roof Tiles,2004,254,76,https://cdn.rebrickable.com/media/sets/10161-1.jpg,,,11400,1,fig-011974,Reznor with Fireball,https://cdn.rebrickable.com/media/sets/fig-011974.jpg,2004
10167-1,Brickmaster Welcome Kit,2004,301,182,https://cdn.rebrickable.com/media/sets/10167-1.jpg,,,6118,1,,,,2004
10168-1,Mrs. Bunny,2005,229,64,https://cdn.rebrickable.com/media/sets/10168-1.jpg,,,13100,1,,,,2005
10170-1,TTX Intermodal Double-Stack Car,2005,236,366,https://cdn.rebrickable.com/media/sets/10170-1.jpg,,,16071,1,,,,2005
1017-1,Letter Bricks for Wall Board,1976,516,150,https://cdn.rebrickable.com/media/sets/1017-1.jpg,,,123325,1,,,,1976
10173-1,Holiday Train,2006,673,969,https://cdn.rebrickable.com/media/sets/10173-1.jpg,8997.0,1.0,3824,1,,,,2006
10174-1,Imperial AT-ST,2006,171,1069,https://cdn.rebrickable.com/media/sets/10174-1.jpg,,,8536,1,,,,2006
10175-1,Vader's TIE Advanced,2006,171,1212,https://cdn.rebrickable.com/media/sets/10175-1.jpg,,,155,1,,,,2006
10176-1,Royal King's Castle,2006,197,877,https://cdn.rebrickable.com/media/sets/10176-1.jpg,10799.0,1.0,7543,1,,,,2006
10177-1,Boeing 787 Dreamliner,2006,673,1197,https://cdn.rebrickable.com/media/sets/10177-1.jpg,,,6784,1,,,,2006
10178-1,Motorized Walking AT-AT,2007,171,1137,https://cdn.rebrickable.com/media/sets/10178-1.jpg,,,5153,1,,,,2007
10179-1,Millennium Falcon,2007,171,5197,https://cdn.rebrickable.com/media/sets/10179-1.jpg,,,6409,1,,,,2007
10181-1,Eiffel Tower 1:300,2007,673,3428,https://cdn.rebrickable.com/media/sets/10181-1.jpg,,,13139,1,,,,2007
10182-1,Cafe Corner,2007,155,2058,https://cdn.rebrickable.com/media/sets/10182-1.jpg,,,16385,1,,,,2007
10183-1,Hobby Train,2007,397,1080,https://cdn.rebrickable.com/media/sets/10183-1.jpg,,,5514,1,,,,2007
10184-1,Town Plan,2008,104,2017,https://cdn.rebrickable.com/media/sets/10184-1.jpg,,,8152,1,,,,2008
10185-1,Green Grocer,2008,155,2358,https://cdn.rebrickable.com/media/sets/10185-1.jpg,,,15814,1,,,,2008
10186-1,General Grievous,2008,171,1085,https://cdn.rebrickable.com/media/sets/10186-1.jpg,,,5147,1,,,,2008
10187-1,Volkswagen Beetle,2008,673,1626,https://cdn.rebrickable.com/media/sets/10187-1.jpg,,,1241,1,,,,2008
10188-1,Death Star,2008,171,3809,https://cdn.rebrickable.com/media/sets/10188-1.jpg,,,15042,1,,,,2008
10189-1,Taj Mahal,2008,673,5922,https://cdn.rebrickable.com/media/sets/10189-1.jpg,,,76,1,,,,2008
10190-1,Market Street,2007,155,1250,https://cdn.rebrickable.com/media/sets/10190-1.jpg,,,14486,1,,,,2007
10191-1,Star Justice,2008,397,893,https://cdn.rebrickable.com/media/sets/10191-1.jpg,,,2152,1,,,,2008
10192-1,Space Skulls,2008,397,957,https://cdn.rebrickable.com/media/sets/10192-1.jpg,,,10298,1,,,,2008
10193-1,Medieval Market Village,2009,193,1619,https://cdn.rebrickable.com/media/sets/10193-1.jpg,,,10306,1,,,,2009
10194-1,Emerald Night,2009,673,1089,https://cdn.rebrickable.com/media/sets/10194-1.jpg,7391.0,1.0,13854,1,,,,2009
10195-1,Republic Dropship with AT-OT,2009,171,1758,https://cdn.rebrickable.com/media/sets/10195-1.jpg,,,8987,1,,,,2009
10196-1,Grand Carousel,2009,673,3261,https://cdn.rebrickable.com/media/sets/10196-1.jpg,,,4131,1,,,,2009
10197-1,Fire Brigade,2009,155,2236,https://cdn.rebrickable.com/media/sets/10197-1.jpg,,,6696,1,,,,2009
10198-1,Tantive IV,2009,171,1408,https://cdn.rebrickable.com/media/sets/10198-1.jpg,,,12811,1,,,,2009
10199-1,Winter Toy Shop,2009,227,815,https://cdn.rebrickable.com/media/sets/10199-1.jpg,,,9814,1,,,,2009
10-2,Universal Building Set,1976,469,129,https://cdn.rebrickable.com/media/sets/10-2.jpg,,,8211,1,,,,1976
10200-1,Custom Car Garage,2008,397,894,https://cdn.rebrickable.com/media/sets/10200-1.jpg,,,14040,1,,,,2008
1020-1,Basic Bricks,1985,516,86,https://cdn.rebrickable.com/media/sets/1020-1.jpg,,,26819,1,fig-011972,Boss Sumo Bro,https://cdn.rebrickable.com/media/sets/fig-011972.jpg,1985
10205-1,Locomotive,2002,236,234,https://cdn.rebrickable.com/media/sets/10205-1.jpg,,,1830,1,,,,2002
10210-1,Imperial Flagship,2010,153,1668,https://cdn.rebrickable.com/media/sets/10210-1.jpg,,,1589,1,,,,2010
1021-1,Basic Vehicles,1985,516,93,https://cdn.rebrickable.com/media/sets/1021-1.jpg,,,26820,1,,,,1985
10211-1,Grand Emporium,2010,155,2187,https://cdn.rebrickable.com/media/sets/10211-1.jpg,,,6619,1,,,,2010
10212-1,Imperial Shuttle,2010,171,2503,https://cdn.rebrickable.com/media/sets/10212-1.jpg,,,7299,1,,,,2010
10213-1,Shuttle Adventure,2010,673,1204,https://cdn.rebrickable.com/media/sets/10213-1.jpg,,,9519,1,,,,2010
10214-1,Tower Bridge,2010,673,4295,https://cdn.rebrickable.com/media/sets/10214-1.jpg,,,11520,1,,,,2010
10215-1,Obi-Wan's Jedi Starfighter,2010,171,676,https://cdn.rebrickable.com/media/sets/10215-1.jpg,,,2268,1,,,,2010
