call_sign,frequency,city,licensee,format,state,facility_id,service,licensee_call_sign_r,status,details
KMLL,91.7,Marysville,American Family Association,Inspirational (AFR),Kansas,,,,,
KMML,92.9,Cimarron,"One Media, Inc.",Silent,Kansas,,,,,
KMMM,1290.0,Pratt,"Rocking M Media, LLC",Classic hits,Kansas,,,,,
KMOQ,105.3,Columbus,"American Media Investments, Inc.",Classic rock,Kansas,,,,,
KMPK,96.7,McPherson,"Ad Astra per Aspera Broadcasting, Inc.",Adult contemporary,Kansas,,,,,
KMUW,89.1,Wichita,Wichita State University,Public radio,Kansas,72364.0,FM,WICHITA STATE UNIVERSITY,LICENSED,Click for Details
KMXN,92.9,Osage City,"Great Plains Media, Inc.",Country,Kansas,7946.0,FM,"GREAT PLAINS MEDIA, INC.",LICENSED,Click for Details
KMZA,92.1,Seneca,"KNZA, Inc.",Country,Kansas,,,,,
KNCK,1390.0,Concordia,"White Communications, LLC",Oldies,Kansas,,,,,
KNCK-FM,94.9,Concordia,"White Communications, LLC",Hot adult contemporary,Kansas,,,,,
KNDY,1570.0,Marysville,"Dierking Communications, Inc.",Classic country,Kansas,,,,,
KNDY-FM,95.5,Marysville,"Dierking Communications, Inc.",Country,Kansas,,,,,
KNIU-LP,97.7,Kansas City,Centro Cristiano Agua Viva,Spanish religious,Kansas,,,,,
KNJT,90.3,Coldwater,"Florida Public Radio, Inc.",Christian,Kansas,,,,,
KNNS,1510.0,Larned,"Rocking M Media, LLC",News/Talk,Kansas,,,,,
KNSS,1330.0,Wichita,"Audacy License, LLC",News/Talk,Kansas,,,,,
KNSS-FM,98.7,Clearwater,"Audacy License, LLC",News/Talk,Kansas,23292.0,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KNZA,103.9,Hiawatha,"KNZA, Inc.",Country,Kansas,,,,,
KNZS,100.3,Kingman,"Ad Astra Per Aspera Broadcasting, Inc.",Classic rock,Kansas,,,,,
KODC-LP,102.1,Dodge City,Kansas Sacred Heart Radio Corporation,Spanish Catholic,Kansas,,,,,
KOFO,1220.0,Ottawa,"Brandy Communications, Inc.",Country,Kansas,,,,,
KOKN,88.7,Oketo,South Central Oklahoma Christian Broadcasting Inc.,Southern gospel,Kansas,,,,,
KOMB,103.9,Fort Scott,"Fort Scott Broadcasting Company, Inc.",Classic hits,Kansas,,,,,
KONQ,91.9,Dodge City,Dodge City Community College,College,Kansas,,,,,
KOOJ-LP,93.1,Pittsburg,Our Lady of Mt. Carmel Education and Evangelization Society,Catholic,Kansas,,,,,
KOTE,93.9,Eureka,"Stephen J. Brown, Jr.",Country,Kansas,,,,,
KPHN,1360.0,El Dorado,"Kansas City Catholic Network, Inc.",Catholic,Kansas,,,,,
KPIO-FM,93.7,Pleasanton,Catholic Radio Network,Catholic,Kansas,,,,,
KPRD,88.9,Hays,"The Praise Network, Inc.",Christian,Kansas,,,,,
KQAM,1480.0,Wichita,"Steckline Communications, Inc.",News/Talk,Kansas,,,,,
KQLA,103.5,Ogden,"Eagle Communications, Inc.",Country,Kansas,33565.0,FM,"EAGLE COMMUNICATIONS, INC.",LICENSED,Click for Details
KQMA,92.5,Phillipsburg,"Robert D. Yates, Jr. d/b/a RTY Broadcasting",Full service/Variety,Kansas,,,,,
KQNK,1530.0,Norton,"Dierking Communications, Inc.",Classic hits,Kansas,,,,,
KQNK-FM,106.7,Norton,"Dierking Communications, Inc.",Classic hits,Kansas,,,,,
KQQF,98.9,Coffeyville,"SEK Media, LLC",Contemporary Christian,Kansas,,,,,
KQRB,96.9,Effingham,"Intrepid Companies, LLC",Urban contemporary,Kansas,,,,,
KQRC-FM,98.9,Leavenworth,"Audacy Kansas City License, LLC",Mainstream rock,Kansas,74101.0,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KQSH,90.7,Dodge City,La Promesa Foundation,Catholic,Kansas,,,,,
KQUI-LP,100.3,Ulysses,"Primera Iglesia Bautista Ulysses, Inc.",Spanish religious,Kansas,,,,,
KQYX,1450.0,Galena,American Media Investments Inc.,Gospel,Kansas,,,,,
KQZQ,98.3,Kiowa,"My Town Media, Inc.",Country,Kansas,,,,,
KRBB,97.9,Wichita,"iHM Licenses, LLC",Adult contemporary,Kansas,39902.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KRBW,90.5,Ottawa,American Family Association,Inspirational (AFR),Kansas,,,,,
KRDQ,100.3,Colby,"Rocking M Media, LLC",Hot adult contemporary,Kansas,,,,,
KREJ,101.7,Medicine Lodge,"Florida Public Radio, Inc.",Religious,Kansas,,,,,
KREP,92.1,Belleville,First Republic,Country,Kansas,,,,,
KRMI-LP,105.5,Manhattan,Manhattan Chinese Ministry Association,Christian Chinese,Kansas,,,,,
KRPS,89.9,Pittsburg,Pittsburg State University,Public radio,Kansas,,,,,
KRSL,990.0,Russell,"White Communications, L.L.C.",Classic country,Kansas,,,,,
KRSL-FM,95.9,Russell,"White Communications, L.L.C.",Adult hits,Kansas,,,,,
KRTT,88.1,Great Bend,"Divine Mercy Radio, Inc.",Catholic,Kansas,,,,,
KRTY,91.9,Great Bend,Educational Media Foundation,Contemporary Christian (K-Love),Kansas,,,,,
KSAJ-FM,98.5,Burlingame,Alpha Media Licensee LLC,Adult hits,Kansas,,,,,
KSAL,1150.0,Salina,"Meridian Media, LLC",News/Talk,Kansas,,,,,
KSAL-FM,104.9,Salina,"Meridian Media, LLC",Classic hits,Kansas,,,,,
KSCB,1270.0,Liberal,"Seward County Broadcasting Co., Inc.",News/Talk,Kansas,,,,,
KSCB-FM,107.5,Liberal,"Seward County Broadcasting Co., Inc.",Hot adult contemporary,Kansas,,,,,
KSDB-FM,91.9,Manhattan,Kansas State University,"Modern rock, Urban, & Local",Kansas,,,,,
KSDH-LP,100.1,Great Bend,Hope Radio Association,Religious Teaching,Kansas,,,,,
KSEK,1340.0,Pittsburg,Michael D. Landis,Sports,Kansas,,,,,
KSEK-FM,99.1,Girard,"American Media Investments, Inc.",Sports,Kansas,,,,,
KSGC-LP,100.5,Garden City,"St. Gabriel Communications, Inc.",Catholic,Kansas,,,,,
KSGL,900.0,Wichita,"Agape Communications, Inc.",Religious/Adult standards,Kansas,,,,,
KSKG,99.9,Salina,"Eagle Communications, Inc.",Country,Kansas,58645.0,FM,"EAGLE COMMUNICATIONS, INC.",LICENSED,Click for Details
KSKL,94.5,Scott City,Central Plains Finance LLC,Adult contemporary,Kansas,,,,,
KSKU,94.7,Sterling,"Ad Astra Per Aspera Broadcasting, Inc.",Top 40 (CHR),Kansas,,,,,
KSKZ,98.1,Copeland,Central Plains Finance LLC,Top 40 (CHR),Kansas,,,,,
KSMK-LP,98.3,St. Marys,St. Marys Academy Home Study School Assoc.,Religious/Classical,Kansas,,,,,
