gutenberg_id,subject_type,subject
34855,lcsh,Holy Spirit
5142,lcsh,Kings and rulers -- Fiction
34551,lcsh,Courtship -- Juvenile fiction
16549,lcc,PR
75340,lcc,PR
11482,lcsh,"Humorous stories, English"
72957,lcsh,Upper class -- Fiction
27830,lcc,BJ
62397,lcsh,"Buncombe, Edward, 1742-1778"
70081,lcsh,Italy -- History -- 1492-1559
49363,lcsh,Ghosts -- Juvenile fiction
30900,lcsh,Free thought
66746,lcsh,Art museums -- Washington (D.C.) -- Guidebooks
35957,lcsh,Adirondack Mountains (N.Y.) -- Juvenile fiction
645,lcsh,"Short stories, American"
3634,lcc,PR
58572,lcsh,Indexes
13024,lcc,PQ
50206,lcsh,"Catherine, of Genoa, Saint, 1447-1510"
41717,lcsh,Tapestry -- England
41907,lcsh,Bildungsromans
8373,lcsh,Bible. Revelation
4063,lcsh,Great Britain -- Politics and government -- 1800-1837
39249,lcsh,Tragicomedy
44617,lcsh,"Luther, Martin, 1483-1546"
64865,lcsh,Lancaster County (Pa.) -- Guidebooks
599,lcsh,Social classes -- Fiction
48313,lcsh,Children -- Conduct of life -- Juvenile fiction
64667,lcsh,Adventure stories
54736,lcc,BS
54739,lcsh,Finnish fiction -- 20th century
39429,lcsh,Europe -- History -- 476-1492
25281,lcc,PR
59942,lcsh,"Literature, Medieval -- Roman influences"
10284,lcc,M
45788,lcsh,German literature -- 19th century -- Translations into English
16855,lcsh,Adventure stories
41315,lcsh,Sea stories
46188,lcsh,War -- Juvenile fiction
45293,lcc,PR
46950,lcsh,Human-animal relationships -- Juvenile fiction
7372,lcsh,United States -- Social life and customs -- Fiction
50543,lcc,PS
32335,lcsh,American poetry
45410,lcsh,Art -- Study and teaching
70189,lcc,PR
4315,lcsh,"Burton, Richard Francis, Sir, 1821-1890"
1085,lcsh,"Authors, English -- 19th century -- Biography"
60402,lcsh,"Literature, Modern -- 20th century -- Periodicals"
66135,lcc,F001
61298,lcsh,"United States -- History -- Civil War, 1861-1865 -- Veterans -- Fiction"
57175,lcsh,India -- Social life and customs
33827,lcc,PT
57236,lcc,PS
6310,lcsh,Religious fiction
4195,lcc,DA
41282,lcsh,Congo (Democratic Republic) -- Discovery and exploration
37056,lcsh,Envy -- Juvenile fiction
28133,lcsh,"Children's literature, American -- Periodicals"
66482,lcsh,Roads
44558,lcsh,Bluebeard (Legendary character) -- Juvenile fiction
39318,lcsh,Bookbinding
5709,lcsh,Love stories
50090,lcsh,North Carolina -- Fiction
4448,lcc,PR
2778,lcc,PS
36043,lcsh,"Paris (France) -- History -- Commune, 1871"
50626,lcsh,Oriental antiquities
71386,lcsh,Cowboys -- Fiction
69333,lcc,PS
15997,lcc,QH
26814,lcsh,French fiction -- 19th century
47963,lcsh,"Islam -- Essence, genius, nature"
65331,lcsh,Adventure stories
28697,lcsh,Conduct of life -- Juvenile fiction
68606,lcc,PQ
966,lcc,PR
41354,lcsh,Voyages and travels -- Fiction
18060,lcsh,Young women -- Fiction
4042,lcsh,"Mozart, Wolfgang Amadeus, 1756-1791"
73222,lcc,DA
22533,lcsh,"Shamil, Imam, 1798?-1871"
17212,lcc,N
66477,lcc,PS
19423,lcc,PZ
9895,lcc,PQ
16889,lcsh,Western stories
64227,lcsh,Evolution (Biology)
