x1,title,subtitle,image,author,publication,year,month,day,reading_time,claps,url,author_url,tag_ai,tag_artificial_intelligence,tag_big_data,tag_data,tag_data_science,tag_data_visualization,tag_deep_learning,tag_machine_learning
159,En dnde termina mi cuerpo?,La pregunta viene por la interaccin que mantenemos con nuestros dispositivos mviles.,1,Desde la il gica de mi l gica,,2017,8,6,1,7.0,https://medium.com/@fernandochvezfinol/en-d%C3%B3nde-termina-mi-cuerpo-f12c73ea240f,https://medium.com/@fernandochvezfinol,1,0,0,0,0,0,0,0
161,Automation: A Bright Future,"From reading many articles and posts about the threat of AI to the job market, I am coming to the view that any automation, whether or not it is as result of AI, is good for long term economic prospects. Like most economists I have painted a simplistic view of the economic cycle",0,Doug Edmonds,,2017,8,6,3,0.0,https://medium.com/@DougEdmonds/automation-a-bright-future-8cf4275a2555,https://medium.com/@DougEdmonds,1,0,0,0,0,0,0,0
162,MACHINE LANGUAGEare we listening???,"Theories abound, no one is even close to a believable theory, whether it was Divine Intervention or Evolutionary",0,Premayogan Mahesh,,2017,8,6,3,0.0,https://medium.com/@premayogan/machine-language-are-we-listening-c718662ef62e,https://medium.com/@premayogan,1,0,0,0,0,0,0,0
177,Two types of RSI,One key question which the Author asked himself is the following: Is there just one type of RSI? Are there different types? What are the characteristics of the types? What are the required (key) capabilities of the systems for them? Do the types depend exclusively on other types as a prerequisite,0,Robert W nsche,,2017,8,7,2,1.0,https://medium.com/@RobertW89/two-types-of-rsi-362aec346931,https://medium.com/@RobertW89,1,0,0,0,0,0,0,0
179,"Brick and Mortar is just changing but needs help, from data",,1,Mindful Lens,,2017,8,7,3,0.0,https://medium.com/@mindfullens/brick-and-mortar-is-just-changing-but-needs-help-from-data-4faf37d4aab0,https://medium.com/@mindfullens,1,0,0,0,0,0,0,0
185,API.AI to Line Messaging API (BOT) ##1,.  Natural-language-processing tools,1,Eakkabin Jaikeawma,DRIVESOFT TECHNOLOGY,2017,8,8,5,44.0,https://story.drivesoft.co.th/api-ai-to-line-messaging-api-bot-1-f645642285df,https://story.drivesoft.co.th/@coachmaxz,1,0,0,0,0,0,0,0
199,O Compl Ciberntico Dos Bots Para Assassinar o Teclado.,"Voz, Videos E WiFi, A Nova Era Mobile",1,fernandodineli,Strategic Powerhouse,2017,8,8,6,2.0,https://medium.com/strategic-powerhouse/o-compl%C3%B4-cibern%C3%A9tico-dos-bots-para-assassinar-o-teclado-54a8bed62823,https://medium.com/@fernandodineli,1,0,0,0,0,0,0,0
201,Designing a Conversational World,"In 2017, people spend more time messaging than on social media. More and more companies are realising",1,Redd Experience Design,,2017,8,8,4,9.0,https://medium.com/@reddexperience/designing-a-conversational-world-c20c2d123e0a,https://medium.com/@reddexperience,1,0,0,0,0,0,0,0
203,Ethics and MyDatafrom theory to practice,"With the rapidly growing popularity of data-driven and intelligent products and services, also the dark side of data collection, especially personal data, has become evident. Targeted adverts become more and more intrusive, and masses of personal data",0,Juuso Parkkinen,MyData,2017,8,8,2,4.0,https://medium.com/mydata/ethics-and-mydata-from-theory-to-practice-52a93f643ed8,https://medium.com/@ouzor,1,0,0,0,0,0,0,0
204,Deus ex machina,"When I first arrived, I had the strange sensation of stepping into a dystopic short story waiting to happen. Because here in",1,KL,,2017,8,8,3,9.0,https://medium.com/@kli/deus-ex-machina-3d59df32b540,https://medium.com/@kli,1,0,0,0,0,0,0,0
212,EILIS,A.,0,E.I.L.I.S_Customer Service Assistant Chatbot,,2017,8,8,2,0.0,https://medium.com/@service.eilisai/eilis%E6%87%89%E7%AD%94%E8%A8%AD%E5%AE%9A%E6%95%99%E5%AD%B8-86cb5eac9759,https://medium.com/@service.eilisai,1,0,0,0,0,0,0,0
213,Is Tesla giving a preview of the retail of the future ?,,0,Vincent Vanderbeck,,2017,8,8,3,0.0,https://medium.com/@vandevi/is-tesla-giving-a-preview-of-the-retail-of-the-future-85f8eba14001,https://medium.com/@vandevi,1,0,0,0,0,0,0,0
214,,AIAI,0,Kazumasa Ishikawa,,2017,8,8,3,0.0,https://medium.com/@kzms/%EF%BD%81%EF%BD%89%E3%82%92%E4%BD%BF%E3%81%86%E3%81%9F%E3%82%81%E3%81%AB%E5%BF%85%E8%A6%81%E3%81%AA%EF%BC%93%E3%81%A4-7042a66c8008,https://medium.com/@kzms,1,0,0,0,0,0,0,0
217,Impacts of Artificial Intelligence: Augmented Translation,,1,CSOFT International,,2017,8,8,4,0.0,https://medium.com/@csoftintl/impacts-of-artificial-intelligence-augmented-translation-ed67de2c2daf,https://medium.com/@csoftintl,1,0,0,0,0,0,0,0
218,Alexa  MIT,,1,shenzhenware,,2017,8,8,2,1.0,https://medium.com/@ShenzhenWare/%E6%A4%8D%E5%85%A5-alexa-%E7%9A%84-mit-%E7%8D%B5%E8%B1%B9%E6%A9%9F%E5%99%A8%E4%BA%BA-%E6%BA%96%E5%82%99%E8%BD%89%E8%A1%8C%E7%95%B6%E7%81%BD%E5%8D%80%E6%95%91%E6%8F%B4%E5%93%A1%E4%BA%86-2a57f95720ac,https://medium.com/@ShenzhenWare,1,0,0,0,0,0,0,0
222,How AI is Driving Dynamic Pricing in Online Retail,,1,Datahut,,2017,8,8,3,1.0,https://medium.com/@Data_hut/how-ai-is-driving-dynamic-pricing-in-online-retail-b915edd66d69,https://medium.com/@Data_hut,1,0,0,0,0,0,0,0
224,IAS Coaching In Chandigarh,Delhi Career Group is the dignified institute for IAS coaching in Chandigarh. Our institute is the most popular and successive coaching institute in north India. We trained a lot of candidates throughout the year for IAS exam coaching. We provide coaching in accordance to the exam,0,Lata Chaudhary,,2017,8,8,1,0.0,https://medium.com/@pos.latachaudhary/ias-coaching-in-chandigarh-eff9d31cf335,https://medium.com/@pos.latachaudhary,1,0,0,0,0,0,0,0
225,When Do We Start Working For Computers?,"I have done some quick back-of-envelope calculations on the progress of AI, trying to estimate how much progress has been made vs. how many job-related functions and activities there are left to automate.",0,Doug Edmonds,,2017,8,8,2,0.0,https://medium.com/@DougEdmonds/when-do-we-start-working-for-computers-925be46050be,https://medium.com/@DougEdmonds,1,0,0,0,0,0,0,0
229,Artificial Intelligence and the Rise of Economic Inequality,,1,Abhinav Suri,Towards Data Science,2017,8,9,16,577.0,https://towardsdatascience.com/artificial-intelligence-and-the-rise-of-economic-inequality-b9d81be58bec,https://towardsdatascience.com/@abhisuri97,1,0,0,0,0,0,0,0
243,Automorph awarded position on the Zeroth.AI business accelerator,,1,Sam Harris,AutomorphHQ,2017,8,9,2,5.0,https://medium.com/automorphhq/automorph-awarded-position-on-the-zeroth-ai-business-accelerator-a29a8355d854,https://medium.com/@sam_harris,1,0,0,0,0,0,0,0
245,"AI  AI.  Def Con ,",,1,Andrii Pastushenko,,2017,8,9,3,52.0,https://medium.com/@andpast/ai-%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2-ai-641ae44b8134,https://medium.com/@andpast,1,0,0,0,0,0,0,0
247,What if Machines are Better than Humans at Creativity?,By Andrew McAfee and Erik Brynjolfsson,1,MIT IDE,MIT Initiative on the Digital Economy,2017,8,9,1,5.0,https://medium.com/mit-initiative-on-the-digital-economy/what-if-machines-are-better-than-humans-at-creativity-3680b59ab936,https://medium.com/@mit_ide,1,0,0,0,0,0,0,0
249,"whim#5: Catacomb Cops, What The Health, AI Detects Eye Disease, Silent Drama of Photography, LinkedIn vs HiQ",,1,Dennis Janek,Pandera Labs,2017,8,9,5,4.0,https://labnotes.panderalabs.com/whim-5-catacomb-cops-what-the-health-ai-detects-eye-disease-silent-drama-of-photography-dadb3fe7acb4,https://labnotes.panderalabs.com/@dennisjanek,1,0,0,0,0,0,0,0
250,How to Conduct a Performance Review for a Digital Employee,,1,IPsoft Incorporated,Turing Horizon,2017,8,9,5,0.0,https://turinghorizon.com/how-to-conduct-a-performance-review-for-a-digital-employee-3cf36dfd131f,https://turinghorizon.com/@IPsoft,1,0,0,0,0,0,0,0
256,Winter is Coming! Or is It?,,1,Craig Harewood,,2017,8,9,3,2.0,https://medium.com/@craigharewood/winter-is-coming-or-is-it-152ec598f1d6,https://medium.com/@craigharewood,1,0,0,0,0,0,0,0
261,Ubers Fatal Mistake,"According to a report on The Information, the drama at Uber continues with Travis Kalanick trying to regain board control. The company has always been a subject of fiascos such as sex scandals and alleged IP theft. But in my opinion, none of them is as irrevocable as Ubers short-sighted",0,Emre Sokullu,AltPlatform Emre Sokullu,2017,8,9,2,0.0,https://medium.com/altplatform/ubers-fatal-mistake-f27ba74c6269,https://medium.com/@emresokullu,1,0,0,0,0,0,0,0
264,,Jes,1,shenzhenware,,2017,8,9,2,1.0,https://medium.com/@ShenzhenWare/%E7%82%BA%E5%95%A5%E5%8B%95%E7%89%A9%E6%B2%92%E6%9C%89%E4%B8%89%E6%A2%9D%E8%85%BF-%E6%96%BC%E6%98%AF%E5%A4%A7%E9%98%AA%E5%A4%A7%E5%AD%B8%E5%81%9A%E4%BA%86%E5%A3%B9%E5%80%8B%E9%80%99%E6%A8%A3%E7%9A%84%E6%A9%9F%E5%99%A8%E4%BA%BA-175c563f0155,https://medium.com/@ShenzhenWare,1,0,0,0,0,0,0,0
267,Can Best IAS Coaching Center in Delhi Be Beneficial To You,Top IAS Coaching,0,Meri Padhai,,2017,8,9,2,0.0,https://medium.com/@meripadhai/can-best-ias-coaching-center-in-delhi-be-beneficial-to-you-41a4e04eaede,https://medium.com/@meripadhai,1,0,0,0,0,0,0,0
269,5 Shocking Things That an AI Program Told Me In Less Than 2 Hours,Theres a new AI in town and it doesnt just learns from you it becomes you!,0,Bruno Coelho,Chatbots Life,2017,8,10,2,57.0,https://chatbotslife.com/5-shocking-things-that-an-ai-program-told-me-in-less-than-2-hours-568c56feb3f5,https://chatbotslife.com/@iamBrunoCoelho,1,0,0,0,0,0,0,0
272,How to make your chatbot a huge success? Two dimensions and a tip!,,1,RecastAI,,2017,8,10,5,25.0,https://medium.com/@RecastAI/how-to-make-your-chatbot-a-huge-success-two-dimensions-and-a-tip-3da221bdf731,https://medium.com/@RecastAI,1,0,0,0,0,0,0,0
274,"Da Kralnn Laboratuvarnda: Yapay Zekann Dn, Bugn ve Yarn",,1,Bar  de Molinari,Liberbird,2017,8,10,12,202.0,https://liberbird.com/da%C4%9F-kral%C4%B1n%C4%B1n-laboratuvar%C4%B1nda-yapay-zekan%C4%B1n-d%C3%BCn%C3%BC-bug%C3%BCn%C3%BC-ve-yar%C4%B1n%C4%B1-131c4cd544cd,https://liberbird.com/@barismolinari,1,0,0,0,0,0,0,0
275,How We Built Burger King Bot,Building a complex bot is not as easy as it seems.,1,Maximiliano Contieri,Chatbots Magazine,2017,8,10,7,5.0,https://chatbotsmagazine.com/how-we-built-burger-king-bot-c33dc3d4225b,https://chatbotsmagazine.com/@mcsee,1,0,0,0,0,0,0,0
280,Embracing A.I and Personalization in Customer Journeys,,1,Blueshift,,2017,8,10,5,20.0,https://medium.com/@blueshiftlabs/embracing-a-i-and-personalization-in-customer-journeys-a5d7d2b95fb4,https://medium.com/@blueshiftlabs,1,0,0,0,0,0,0,0
293,Customer Service in a World of Ambient ComputingThe Service Center View,,1,Thomas Wieberneit,Chatbot News Daily,2017,8,10,5,1.0,https://chatbotnewsdaily.com/customer-service-in-a-world-of-ambient-computing-the-service-center-view-92a328450bc1,https://chatbotnewsdaily.com/@twieberneit,1,0,0,0,0,0,0,0
301,My Fathers Question: What Tech will Change the World in the Next 10 Years?,My Father asked me recently what technologies will change the world in the next 5-10 years. Ive summarised below the answer I gave him. He then asked how the older generation could learn about them,0,Craig Fenton,,2017,8,10,2,0.0,https://medium.com/@craigwilliamfenton/my-father-asked-me-recently-what-technologies-will-change-the-world-in-the-next-5-10-years-d5e568103329,https://medium.com/@craigwilliamfenton,1,0,0,0,0,0,0,0
305,Hyperopt tutorial for Optimizing Neural Networks Hyperparameters,What is Hyperopt?,1,Vooban,vooban AI,2017,8,11,5,55.0,https://medium.com/vooban-ai/hyperopt-tutorial-for-optimizing-neural-networks-hyperparameters-e3102814b919,https://medium.com/@vooban,1,0,0,0,0,0,0,0
315,Finding what works for *your* startup,,1,Hugues Lalancette,inovia conversations,2017,8,11,5,77.0,https://blog.inovia.vc/finding-what-works-for-your-startup-8eb60068c92f,https://blog.inovia.vc/@hugueslalancette,1,0,0,0,0,0,0,0
318,How we use AI to make patients matter,,1,Jorge Armanet,,2017,8,11,9,1.0,https://medium.com/@jorgearmanet/how-we-use-ai-to-make-patients-matter-d5e3d55f5f05,https://medium.com/@jorgearmanet,1,0,0,0,0,0,0,0
323,Tars Bot Makers Community!,you are a pioneer,0,Ish Jindal,Tars Blog,2017,8,11,2,18.0,https://blog.hellotars.com/tars-bot-makers-community-6c7e91685be9,https://blog.hellotars.com/@jindalish,1,0,0,0,0,0,0,0
326,Enterprise Chat News Roundup #2,"Happy Friday everyone! As usual, theres been a lot of news in the bot space this week, for both",1,M.io,Dispatch by Message.io,2017,8,11,3,111.0,https://dispatch.message.io/enterprise-chat-news-roundup-2-780196b1ffd7,https://dispatch.message.io/@messageio,1,0,0,0,0,0,0,0
330,"Ser humano, uma mquina de pensar?","Nossa mente trabalha o tempo todo, sem mesmo pararmos para pensar em como ela funciona. A mente",1,Alexandre Magno Teles,,2017,8,11,3,2.0,https://medium.com/@alexanmtz/ser-humano-uma-m%C3%A1quina-de-pensar-36f0954de0ac,https://medium.com/@alexanmtz,1,0,0,0,0,0,0,0
