set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,_art_year
41438-1,Emma's Jungle Play Cube,2020,494,50,https://cdn.rebrickable.com/media/sets/41438-1.jpg,,,59591,1,2020
41439-1,Cat Grooming Car,2021,494,60,https://cdn.rebrickable.com/media/sets/41439-1.jpg,,,81002,1,2021
414-4,"Windows Parts Pack, White (The Building Toy)",1966,371,10,https://cdn.rebrickable.com/media/sets/414-4.jpg,,,14800,1,1966
41440-1,Heartlake City Bakery,2021,494,99,https://cdn.rebrickable.com/media/sets/41440-1.jpg,,,87835,1,2021
4144-1,Freestyle Brick Vac Bus,1995,399,142,https://cdn.rebrickable.com/media/sets/4144-1.jpg,,,9340,1,1995
41441-1,Horse Training and Trailer,2021,494,148,https://cdn.rebrickable.com/media/sets/41441-1.jpg,,,100271,1,2021
41442-1,Vet Clinic Rescue Buggy,2021,494,100,https://cdn.rebrickable.com/media/sets/41442-1.jpg,115094.0,1.0,87839,1,2021
41443-1,Olivia's Electric Car,2021,494,183,https://cdn.rebrickable.com/media/sets/41443-1.jpg,,,80973,1,2021
41444-1,Heartlake City Organic Café,2021,494,314,https://cdn.rebrickable.com/media/sets/41444-1.jpg,,,80972,1,2021
41445-1,Vet Clinic Ambulance,2021,494,313,https://cdn.rebrickable.com/media/sets/41445-1.jpg,,,87833,1,2021
41446-1,Heartlake City Vet Clinic,2021,494,267,https://cdn.rebrickable.com/media/sets/41446-1.jpg,,,87828,1,2021
41447-1,Heartlake City Park,2021,494,432,https://cdn.rebrickable.com/media/sets/41447-1.jpg,,,80971,1,2021
41448-1,Heartlake City Movie Theater,2021,494,464,https://cdn.rebrickable.com/media/sets/41448-1.jpg,,,81001,1,2021
41449-1,Andrea's Family House,2021,494,802,https://cdn.rebrickable.com/media/sets/41449-1.jpg,,,81000,1,2021
414-5,"Windows Parts Pack, Red (System)",1966,371,10,https://cdn.rebrickable.com/media/sets/414-5.jpg,,,14957,1,1966
41450-1,Heartlake City Shopping Mall,2021,494,1032,https://cdn.rebrickable.com/media/sets/41450-1.jpg,,,87825,1,2021
4145-1,Freestyle Playcase,1995,399,254,https://cdn.rebrickable.com/media/sets/4145-1.jpg,,,14544,1,1995
41451-1,Unikitty Cloud Car,2018,625,144,https://cdn.rebrickable.com/media/sets/41451-1.jpg,73586.0,1.0,24369,1,2018
41452-1,Prince Puppycorn Trike,2018,625,124,https://cdn.rebrickable.com/media/sets/41452-1.jpg,73586.0,1.0,24370,1,2018
41453-1,Party Time,2018,625,214,https://cdn.rebrickable.com/media/sets/41453-1.jpg,,,24371,1,2018
41454-1,Dr. Fox Laboratory,2018,625,371,https://cdn.rebrickable.com/media/sets/41454-1.jpg,,,24372,1,2018
41455-1,Unikingdom Creative Brick Box,2018,625,443,https://cdn.rebrickable.com/media/sets/41455-1.jpg,,,24373,1,2018
41456-1,Unikingdom Fairground Fun,2018,625,515,https://cdn.rebrickable.com/media/sets/41456-1.jpg,,,24853,1,2018
