camis,dba,boro,zipcode,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type,_art_year
50045954,TASTE TACO HOUSE,MANHATTAN,10013.0,Chinese,07/21/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,Pre-permit (Operational) / Re-inspection,2016
50018036,BUSHWICK PUBLIC HOUSE,BROOKLYN,11221.0,Caf̩/Coffee/Tea,03/11/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,Cycle Inspection / Re-inspection,2016
50048487,EASTFIELD'S,MANHATTAN,10075.0,American,08/31/2016,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,C,Pre-permit (Operational) / Reopening Inspection,2016
41065858,LURE FISHBAR,MANHATTAN,10012.0,Seafood,09/10/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,Cycle Inspection / Re-inspection,2015
41387345,DUNKIN' DONUTS,BROOKLYN,11211.0,American,09/13/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25.0,,Cycle Inspection / Initial Inspection,2017
41191334,EAST VILLAGE PIZZA AND KEBAB,MANHATTAN,10003.0,Pizza,10/27/2016,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,54.0,,Cycle Inspection / Initial Inspection,2016
40726517,HILLSTONE MANHATTAN,MANHATTAN,10010.0,Steak,02/05/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,30.0,,Cycle Inspection / Initial Inspection,2018
50067776,PIZZA STOP,MANHATTAN,10002.0,Pizza,05/08/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20.0,,Cycle Inspection / Initial Inspection,2018
41297164,TASTE OF CHINA,BROOKLYN,11228.0,Chinese,09/24/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,7.0,A,Cycle Inspection / Initial Inspection,2015
41556136,DANNY'S ATHENS RESTAURANT,BRONX,10472.0,American,04/04/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20.0,,Cycle Inspection / Initial Inspection,2016
