LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
1905070,bondurant-farrar comm school district,IA,rural-fringe,2016-2017,0.0478240076518412,1.43472022955524,0.908656145384983,4.30416068866571,89.9091343854615,3.39550454328073,2091,Undiverse,,
1905130,boone comm school district,IA,town-fringe,1994-1995,0.132275132275132,0.529100529100529,0.440917107583774,0.132275132275132,98.7654320987654,,2268,Extremely undiverse,,
1905130,boone comm school district,IA,town-fringe,2016-2017,0.77319587628866,0.56701030927835,2.06185567010309,4.74226804123711,88.0927835051546,3.76288659793814,1940,Undiverse,,
1905190,boyden-hull comm school district,IA,rural-distant,1994-1995,0.0,0.875656742556918,0.700525394045534,2.45183887915937,95.9719789842382,,571,Extremely undiverse,,
1905190,boyden-hull comm school district,IA,rural-distant,2016-2017,0.0,0.463678516228748,0.0,23.4930448222566,74.9613601236476,1.08191653786708,647,Diverse,,
1905370,bridgewater-fontanelle comm sc,IA,,1994-1995,0.651465798045603,1.62866449511401,0.0,0.0,97.7198697068404,,307,Extremely undiverse,,
1905430,west hancock comm school district,IA,rural-distant,1994-1995,0.0,0.122549019607843,0.122549019607843,2.57352941176471,97.1813725490196,,816,Extremely undiverse,,
1905430,west hancock comm school district,IA,rural-distant,2016-2017,0.0,0.324675324675325,0.811688311688312,14.1233766233766,82.7922077922078,1.94805194805195,616,Undiverse,,
1905490,brooklyn-guernsey-malcom comm school district,IA,rural-remote,1994-1995,0.0,0.306278713629403,0.306278713629403,0.153139356814701,99.2343032159265,,653,Extremely undiverse,,
1905490,brooklyn-guernsey-malcom comm school district,IA,rural-remote,2016-2017,0.0,0.519930675909879,0.693240901213172,4.8526863084922,93.2409012131716,0.693240901213172,577,Extremely undiverse,,
1905750,north iowa comm school district,IA,rural-remote,1994-1995,0.0,0.0,0.0,0.0,100.0,,427,Extremely undiverse,,
1905750,north iowa comm school district,IA,rural-remote,2016-2017,0.0,0.389105058365759,0.778210116731518,10.8949416342412,86.7704280155642,1.16731517509728,514,Undiverse,,
1905790,burlington comm school district,IA,town-remote,1994-1995,0.387453874538745,1.34686346863469,8.06273062730627,1.4760147601476,88.7269372693727,,5420,Undiverse,,
1905790,burlington comm school district,IA,town-remote,2016-2017,0.276520864756159,0.703871292106586,15.1835093011564,6.46053293112117,68.350930115636,9.02463549522373,3978,Diverse,0.0084334131143528,Highly integrated
1905910,burt comm school district,IA,,1994-1995,0.0,0.0,0.0,2.5,97.5,,80,Extremely undiverse,,
1905940,cam comm school district,IA,rural-remote,1994-1995,0.0,0.0,0.0,0.0,100.0,,304,Extremely undiverse,,
1905940,cam comm school district,IA,rural-remote,2016-2017,0.207684319833853,0.934579439252336,2.59605399792316,4.56905503634476,88.681204569055,3.01142263759086,963,Undiverse,,
1905970,cal comm school district,IA,rural-distant,1994-1995,0.280898876404494,0.0,0.0,5.89887640449438,93.8202247191011,,356,Extremely undiverse,,
1905970,cal comm school district,IA,rural-distant,2016-2017,0.377358490566038,0.0,0.0,38.4905660377359,59.622641509434,1.50943396226415,265,Diverse,,
1906000,calamus-wheatland comm school district,IA,rural-distant,1994-1995,0.0,0.0,0.187265917602996,0.187265917602996,99.625468164794,,534,Extremely undiverse,,
1906000,calamus-wheatland comm school district,IA,rural-distant,2016-2017,0.792079207920792,0.396039603960396,0.396039603960396,2.97029702970297,93.6633663366337,1.78217821782178,505,Extremely undiverse,,
1906060,camanche comm school district,IA,town-distant,1994-1995,0.0912408759124088,0.638686131386861,0.547445255474453,1.0036496350365,97.7189781021898,,1096,Extremely undiverse,,
1906060,camanche comm school district,IA,town-distant,2016-2017,0.0969932104752667,0.678952473326867,0.969932104752667,4.0737148399612,91.270611057226,2.909796314258,1031,Extremely undiverse,,
1906240,cardinal comm school district,IA,rural-distant,1994-1995,0.0,0.153374233128834,0.306748466257669,0.766871165644172,98.7730061349693,,652,Extremely undiverse,,
1906240,cardinal comm school district,IA,rural-distant,2016-2017,0.116550116550117,0.233100233100233,1.16550116550117,3.96270396270396,91.1421911421911,3.37995337995338,858,Extremely undiverse,,
1906270,carlisle comm school district,IA,town-fringe,1994-1995,0.328407224958949,0.246305418719212,0.574712643678161,0.410509031198686,98.440065681445,,1218,Extremely undiverse,,
1906270,carlisle comm school district,IA,town-fringe,2016-2017,0.0940291490362012,2.96191819464034,1.50446638457922,4.88951574988246,88.0112834978843,2.53878702397743,2127,Undiverse,,
1906330,carroll comm school district,IA,town-remote,1994-1995,0.0,0.36144578313253,0.120481927710843,0.240963855421687,99.2771084337349,,1660,Extremely undiverse,,
1906330,carroll comm school district,IA,town-remote,2016-2017,0.280426247896803,0.504767246214246,3.7016264722378,4.43073471676949,88.6707795849692,2.41166573191251,1783,Undiverse,,
1906510,cedar falls comm school district,IA,city-small,1994-1995,0.39306771484724,2.80507414686439,2.73360728961944,0.804002144005717,93.2642487046632,,5597,Extremely undiverse,,
1906510,cedar falls comm school district,IA,city-small,2016-2017,0.219619326500732,3.84333821376281,4.66691068814056,2.74524158125915,83.9311859443631,4.59370424597365,5464,Undiverse,,
1906540,cedar rapids comm school district,IA,city-midsize,1994-1995,0.468820605512878,2.14075915047447,6.73294170808857,1.48553999096249,89.1719385449616,,17704,Undiverse,,
1906540,cedar rapids comm school district,IA,city-midsize,2016-2017,0.29789610873208,2.57556010674611,16.56426487929,6.88264134549742,66.0894929559983,7.59014460373611,16113,Diverse,0.0670329371342137,Highly integrated
1906660,center point-urbana comm school district,IA,rural-distant,1994-1995,0.739957716701903,0.211416490486258,0.634249471458774,0.845665961945032,97.568710359408,,946,Extremely undiverse,,
1906660,center point-urbana comm school district,IA,rural-distant,2016-2017,0.188442211055276,0.188442211055276,0.690954773869347,1.57035175879397,94.0954773869347,3.26633165829146,1592,Extremely undiverse,,
1906750,centerville comm school district,IA,town-remote,1994-1995,0.0562429696287964,0.449943757030371,0.843644544431946,0.337457817772778,98.3127109111361,,1778,Extremely undiverse,,
1906750,centerville comm school district,IA,town-remote,2016-2017,0.433839479392625,1.01229211858279,1.37382501807664,2.38611713665944,94.5046999276934,0.289226319595083,1383,Extremely undiverse,,
1906780,central city comm school district,IA,rural-distant,1994-1995,0.0,0.18450184501845,0.738007380073801,1.4760147601476,97.6014760147602,,542,Extremely undiverse,,
1906780,central city comm school district,IA,rural-distant,2016-2017,0.462962962962963,1.38888888888889,1.38888888888889,1.85185185185185,92.8240740740741,2.08333333333333,432,Extremely undiverse,,
1906810,central dewitt school district,IA,rural-fringe,1994-1995,0.061652281134402,0.30826140567201,0.246609124537608,0.554870530209618,98.8286066584464,,1622,Extremely undiverse,,
1906810,central dewitt school district,IA,rural-fringe,2016-2017,0.130633572828217,0.326583932070542,4.50685826257348,3.78837361201829,89.157413455258,2.09013716525147,1531,Undiverse,,
1906840,central comm school district,IA,rural-remote,1994-1995,0.259403372243839,0.259403372243839,0.259403372243839,0.12970168612192,99.0920881971466,,771,Extremely undiverse,,
1906840,central comm school district,IA,rural-remote,2016-2017,0.0,0.228310502283105,0.228310502283105,1.36986301369863,97.2602739726027,0.91324200913242,438,Extremely undiverse,,
1906900,central decatur comm school district,IA,rural-remote,1994-1995,0.589101620029455,0.589101620029455,0.147275405007364,0.736377025036819,97.9381443298969,,679,Extremely undiverse,,
1906900,central decatur comm school district,IA,rural-remote,2016-2017,0.0,0.0,0.685871056241427,2.46913580246914,96.5706447187929,0.274348422496571,729,Extremely undiverse,,
1906930,central lee comm school district,IA,rural-distant,1994-1995,0.0,0.870322019147084,0.174064403829417,0.696257615317667,98.2593559617058,,1149,Extremely undiverse,,
1906930,central lee comm school district,IA,rural-distant,2016-2017,0.544464609800363,0.544464609800363,0.362976406533575,2.08711433756806,94.010889292196,2.45009074410163,1102,Extremely undiverse,,
1906960,central lyon comm school district,IA,rural-distant,1994-1995,0.374531835205993,0.249687890137328,0.0,0.124843945068664,99.250936329588,,801,Extremely undiverse,,
1906960,central lyon comm school district,IA,rural-distant,2016-2017,0.26246719160105,0.0,0.26246719160105,5.249343832021,93.4383202099738,0.78740157480315,762,Extremely undiverse,,
