year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1985,MS,Issaquena County,rural,South,East South Central,Other,2.0,,1985
1984,ND,Bottineau County,rural,Midwest,West North Central,Total,5412.0,0.8607555,1984
2002,MN,Goodhue County,rural,Midwest,West North Central,Black,243.0,,2002
2012,CA,Calaveras County,rural,West,Pacific,Total,28520.0,32.0,2012
1999,KS,Franklin County,rural,Midwest,West North Central,Native American,181.0,,1999
2001,MN,Wabasha County,small/mid,Midwest,West North Central,Asian,67.0,,2001
1977,TN,Grundy County,rural,South,East South Central,White,8096.0,,1977
2009,NY,Schuyler County,rural,Northeast,Middle Atlantic,Total,12215.0,9.5,2009
1983,LA,Red River Parish,rural,South,West South Central,Female,3346.0,0.0,1983
1988,AK,Wade Hampton Census Area,rural,West,Pacific,Other,2843.0,,1988
1985,OK,Major County,rural,South,West South Central,Native American,,,1985
2000,TX,San Patricio County,small/mid,South,West South Central,Black,1237.0,,2000
1996,OH,Monroe County,rural,Midwest,East North Central,Total,9727.0,0.0,1996
2001,CO,Kit Carson County,rural,West,Mountain,Total,5161.0,5.0,2001
1986,AL,Lee County,small/mid,South,East South Central,Male,30818.0,43.0,1986
2011,MO,St. Clair County,rural,Midwest,West North Central,White,5710.0,,2011
1986,NM,Valencia County,small/mid,West,Mountain,Female,12426.0,0.0,1986
1974,MN,Morrison County,rural,Midwest,West North Central,Total,15091.0,0.0,1974
1993,NM,Dona Ana County,small/mid,West,Mountain,Female,49915.0,5.0,1993
1983,VA,Fairfax County,suburban,South,South Atlantic,Female,242036.0,7.285714,1983
2014,IL,Logan County,rural,Midwest,East North Central,Other,,,2014
2016,KY,Clay County,rural,South,East South Central,Female,6476.0,,2016
1991,FL,Manatee County,small/mid,South,South Atlantic,Other,,,1991
1990,IL,Menard County,small/mid,Midwest,East North Central,Other,,,1990
2009,TX,Dallas County,urban,South,West South Central,White,564098.0,,2009
2005,GA,Columbia County,small/mid,South,South Atlantic,White,55897.0,,2005
1986,WI,Sheboygan County,small/mid,Midwest,West North Central,Male,32555.0,28.0,1986
1974,VA,Dickenson County,rural,South,South Atlantic,Latino,,,1974
1998,TX,Navarro County,rural,South,West South Central,Native American,92.0,,1998
1972,SD,Spink County,rural,Midwest,West North Central,Other,60.0,,1972
2015,OH,Clinton County,rural,Midwest,East North Central,Total,27155.0,79.0,2015
2002,MN,Meeker County,rural,Midwest,West North Central,Female,6929.0,4.5,2002
1998,SC,Marion County,rural,South,South Atlantic,Native American,65.0,,1998
2006,SD,Turner County,small/mid,Midwest,West North Central,Native American,29.0,,2006
1998,KS,Linn County,suburban,Midwest,West North Central,Native American,31.0,,1998
1992,SD,Lyman County,rural,Midwest,West North Central,Male,1120.0,0.0,1992
1977,IA,Hamilton County,rural,Midwest,West North Central,Black,4.0,,1977
1978,IN,Hamilton County,suburban,Midwest,East North Central,White,50320.0,,1978
2002,MO,Bollinger County,small/mid,Midwest,West North Central,White,7789.0,,2002
2012,NY,Chenango County,rural,Northeast,Middle Atlantic,Other,,,2012
1993,KS,Nemaha County,rural,Midwest,West North Central,Black,22.0,,1993
2004,NC,Haywood County,small/mid,South,South Atlantic,Native American,190.0,,2004
1972,TN,DeKalb County,rural,South,East South Central,Asian,,,1972
1978,VA,Dickenson County,rural,South,South Atlantic,White,12529.0,,1978
1990,KS,Neosho County,rural,Midwest,West North Central,Asian,20.0,,1990
1972,SD,Turner County,small/mid,Midwest,West North Central,Native American,,,1972
1993,FL,Volusia County,small/mid,South,South Atlantic,Total,239163.0,699.0,1993
1982,KY,Estill County,rural,South,East South Central,Latino,,,1982
2012,CO,Broomfield County,suburban,West,Mountain,Native American,202.0,,2012
2005,MT,Sheridan County,rural,West,Mountain,Asian,10.0,,2005
1977,IN,Vermillion County,small/mid,Midwest,East North Central,Black,10.0,,1977
1977,MS,Pike County,rural,South,East South Central,Other,35.0,,1977
2006,NY,Essex County,rural,Northeast,Middle Atlantic,Other,,,2006
1995,CO,Custer County,rural,West,Mountain,Female,888.0,0.0,1995
1983,FL,DeSoto County,rural,South,South Atlantic,Native American,,,1983
2005,GA,Liberty County,small/mid,South,South Atlantic,White,20515.0,,2005
1975,IL,Wabash County,rural,Midwest,East North Central,White,8257.0,,1975
1984,KY,Hopkins County,rural,South,East South Central,Male,14345.0,37.0,1984
1978,IL,Mercer County,small/mid,Midwest,East North Central,Native American,,,1978
1971,WI,Pierce County,suburban,Midwest,West North Central,Other,58.0,,1971
2012,FL,Miami-Dade County,urban,South,South Atlantic,Male,867195.0,4688.0,2012
1973,OH,Wood County,small/mid,Midwest,East North Central,Latino,,,1973
2006,ID,Bonneville County,small/mid,West,Mountain,Total,60189.0,130.6,2006
1973,NE,Kimball County,rural,Midwest,West North Central,Native American,,,1973
2001,GA,Bleckley County,rural,South,South Atlantic,Female,3848.0,2.333333,2001
1987,WV,Wood County,small/mid,South,South Atlantic,Native American,,,1987
1972,NM,Union County,rural,West,Mountain,White,2973.0,,1972
1987,AZ,La Paz County,rural,West,Mountain,Native American,,,1987
1993,WA,Klickitat County,rural,West,Pacific,Female,5257.0,1.0,1993
2002,NC,Gaston County,suburban,South,South Atlantic,Latino,4974.0,,2002
1971,SC,Chesterfield County,rural,South,South Atlantic,Male,9987.0,9.0,1971
1993,KS,Phillips County,rural,Midwest,West North Central,White,3529.0,,1993
1984,KY,Logan County,rural,South,East South Central,Native American,,,1984
2004,NC,Anson County,rural,South,South Atlantic,Asian,138.0,,2004
1992,IA,Mills County,small/mid,Midwest,West North Central,Total,8523.0,2.0,1992
1970,WY,Sweetwater County,rural,West,Mountain,Total,11240.0,6.0,1970
1989,ID,Bannock County,small/mid,West,Mountain,Native American,,,1989
1996,TX,Wharton County,rural,South,West South Central,White,13969.0,,1996
2011,MN,Hennepin County,urban,Midwest,West North Central,White,597346.0,,2011
1994,GA,Candler County,rural,South,South Atlantic,Native American,2.0,,1994
1986,SC,Chester County,suburban,South,South Atlantic,Native American,,,1986
2011,MI,Charlevoix County,rural,Midwest,East North Central,Black,81.0,,2011
2000,KS,Comanche County,rural,Midwest,West North Central,Total,1093.0,0.0,2000
1973,KY,Barren County,rural,South,East South Central,Latino,,,1973
2015,AL,Dale County,rural,South,East South Central,Asian,524.0,,2015
1998,TX,Walker County,rural,South,West South Central,Male,28944.0,113.0,1998
1974,MD,Wicomico County,small/mid,South,South Atlantic,Female,19985.0,0.0,1974
2015,NC,Davidson County,small/mid,South,South Atlantic,Latino,6680.0,,2015
1977,MN,Redwood County,rural,Midwest,West North Central,Black,3.0,,1977
1986,KS,Graham County,rural,Midwest,West North Central,Male,1165.0,1.888889,1986
1980,TX,Anderson County,rural,South,West South Central,Latino,,,1980
1986,UT,Wayne County,rural,West,Middle Atlantic,Total,1125.0,0.0,1986
2014,WI,Dodge County,rural,Midwest,West North Central,Native American,345.0,,2014
2013,OH,Lorain County,suburban,Midwest,East North Central,Total,198007.0,195.0,2013
1988,MN,Kandiyohi County,rural,Midwest,West North Central,Total,23719.0,11.0,1988
1981,CO,Rio Blanco County,rural,West,Mountain,Asian,,,1981
1972,IL,St. Clair County,suburban,Midwest,East North Central,Asian,,,1972
2000,OR,Yamhill County,suburban,West,Pacific,Female,27194.0,20.0,2000
1977,IA,Franklin County,rural,Midwest,West North Central,White,7810.0,,1977
2011,WY,Laramie County,small/mid,West,Mountain,Latino,7476.0,,2011
1970,TX,Irion County,small/mid,South,West South Central,Latino,,,1970
1978,WI,Richland County,rural,Midwest,West North Central,Total,10241.0,1.0,1978
2010,CA,Fresno County,small/mid,West,Pacific,Asian,61730.0,,2010
2001,KY,Calloway County,rural,South,East South Central,Total,24065.0,39.33333,2001
1981,OK,McCurtain County,rural,South,West South Central,Total,21644.0,13.4,1981
1983,KY,Powell County,rural,South,East South Central,Black,53.0,,1983
1990,NV,Esmeralda County,rural,West,Mountain,White,831.0,,1990
2005,VA,Bristol city,small/mid,South,South Atlantic,Black,655.0,,2005
1991,NC,Cherokee County,rural,South,South Atlantic,Native American,254.0,,1991
1983,IA,Dubuque County,small/mid,Midwest,West North Central,Other,264.0,,1983
2001,LA,Orleans Parish,urban,South,West South Central,Black,213376.0,,2001
1981,MO,Cole County,small/mid,Midwest,West North Central,Native American,,,1981
1993,WA,Jefferson County,rural,West,Pacific,Other,,,1993
1974,LA,Tensas Parish,rural,South,West South Central,Asian,,,1974
1976,AK,Bristol Bay Borough,rural,West,Pacific,Latino,,,1976
1998,IL,LaSalle County,rural,Midwest,East North Central,Male,35627.0,61.66667,1998
1971,TX,Uvalde County,rural,South,West South Central,White,9996.0,,1971
2001,CA,San Benito County,suburban,West,Pacific,Black,408.0,,2001
1986,NC,Washington County,rural,South,South Atlantic,Asian,,,1986
1987,SC,Aiken County,small/mid,South,South Atlantic,Female,39008.0,3.0,1987
2007,MO,Hickory County,rural,Midwest,West North Central,Asian,12.0,,2007
1971,PA,Lebanon County,small/mid,Northeast,Middle Atlantic,Other,118.0,,1971
1988,OR,Linn County,small/mid,West,Pacific,Male,28043.0,14.0,1988
2008,IL,DuPage County,suburban,Midwest,East North Central,Black,28708.0,,2008
2007,CO,Broomfield County,suburban,West,Mountain,Black,407.0,,2007
1982,GA,Dougherty County,small/mid,South,South Atlantic,Latino,,,1982
1979,MS,Simpson County,small/mid,South,East South Central,Male,6863.0,8.9,1979
1983,MT,Fergus County,rural,West,Mountain,Asian,,,1983
1999,ID,Bingham County,rural,West,Mountain,Native American,1654.0,,1999
1972,PA,Snyder County,rural,Northeast,Middle Atlantic,Native American,,,1972
1972,AZ,Santa Cruz County,rural,West,Mountain,Total,9204.0,6.0,1972
1993,KY,Marion County,rural,South,East South Central,Total,10971.0,9.925096,1993
1993,GA,DeKalb County,suburban,South,South Atlantic,White,194883.0,,1993
2015,GA,Paulding County,suburban,South,South Atlantic,Native American,301.0,,2015
1998,MN,Carlton County,small/mid,Midwest,West North Central,Native American,1077.0,,1998
1987,MT,Cascade County,small/mid,West,Mountain,Male,25047.0,36.8,1987
1979,AR,Yell County,rural,South,West South Central,Asian,,,1979
2008,CO,San Juan County,rural,West,Mountain,Other,,,2008
2014,MI,Iron County,rural,Midwest,East North Central,Asian,34.0,,2014
2002,OR,Umatilla County,rural,West,Pacific,White,36486.0,,2002
1990,MN,Nicollet County,small/mid,Midwest,West North Central,Black,68.0,,1990
1973,VA,York County,suburban,South,South Atlantic,Latino,,,1973
1977,HI,Honolulu County,small/mid,West,Pacific,Black,10762.0,,1977
2001,OK,Nowata County,rural,South,West South Central,White,5040.0,,2001
1974,ND,Divide County,rural,Midwest,West North Central,Female,1138.0,0.0,1974
1978,TX,Dickens County,rural,South,West South Central,Total,2001.0,1.0,1978
1989,MS,Montgomery County,rural,South,East South Central,Male,3489.0,15.0,1989
1985,ND,Stutsman County,rural,Midwest,West North Central,Black,21.0,,1985
1970,TN,Putnam County,rural,South,East South Central,Male,11919.0,10.0,1970
2008,GA,Putnam County,rural,South,South Atlantic,Native American,21.0,,2008
1998,KS,Stanton County,rural,Midwest,West North Central,Male,750.0,0.0,1998
1971,KY,Boyd County,small/mid,South,East South Central,Latino,,,1971
1994,OR,Morrow County,rural,West,Pacific,Latino,809.0,,1994
2015,GA,Cobb County,suburban,South,South Atlantic,Black,141138.0,,2015
1985,MI,Iron County,rural,Midwest,East North Central,Female,4012.0,1.0,1985
2003,FL,Liberty County,rural,South,South Atlantic,Other,,,2003
2008,WV,Calhoun County,rural,South,South Atlantic,Native American,17.0,,2008
2016,MN,Koochiching County,rural,Midwest,West North Central,Latino,106.0,,2016
1981,WV,Cabell County,small/mid,South,South Atlantic,Total,70474.0,32.0,1981
1978,VA,Roanoke County,small/mid,South,South Atlantic,Black,1079.0,,1978
1982,VT,Washington County,rural,Northeast,New England,Total,34739.0,,1982
1991,TN,Gibson County,rural,South,East South Central,White,23187.0,,1991
1974,TN,Shelby County,urban,South,East South Central,Other,2158.0,,1974
1986,IL,Randolph County,rural,Midwest,East North Central,Male,12957.0,10.22222,1986
1983,NJ,Sussex County,suburban,Northeast,Middle Atlantic,Latino,,,1983
2005,MI,Montmorency County,rural,Midwest,East North Central,Native American,32.0,,2005
2012,TN,Grainger County,small/mid,South,East South Central,Native American,29.0,,2012
1977,MS,Jackson County,small/mid,South,East South Central,Total,74923.0,46.875,1977
1977,MO,Morgan County,rural,Midwest,West North Central,Other,36.0,,1977
1987,KS,Jackson County,small/mid,Midwest,West North Central,Native American,,,1987
1999,OK,Woods County,rural,South,West South Central,Total,5860.0,5.0,1999
1989,TN,McMinn County,rural,South,East South Central,Native American,,,1989
1977,TX,San Patricio County,small/mid,South,West South Central,Native American,,,1977
2016,TX,Hidalgo County,small/mid,South,West South Central,Other,,,2016
1975,NE,Thomas County,rural,Midwest,West North Central,Asian,,,1975
1993,CO,Kiowa County,rural,West,Mountain,Total,981.0,0.9451149,1993
1984,KS,Comanche County,rural,Midwest,West North Central,Female,698.0,0.0,1984
2004,VA,Alexandria city,urban,South,South Atlantic,Female,50771.0,14.0,2004
2016,SD,Gregory County,rural,Midwest,West North Central,White,2091.0,,2016
1994,IA,Jasper County,rural,Midwest,West North Central,Asian,100.0,,1994
1976,TX,Hidalgo County,small/mid,South,West South Central,Total,144229.0,98.75,1976
2001,IA,Sioux County,rural,Midwest,West North Central,Latino,644.0,,2001
1982,MS,George County,rural,South,East South Central,Total,9727.0,7.4,1982
2005,NE,Saline County,rural,Midwest,West North Central,Asian,167.0,,2005
2015,NC,Randolph County,small/mid,South,South Atlantic,Male,45902.0,138.0,2015
1996,TX,Zavala County,rural,South,West South Central,Total,7113.0,61.25,1996
