book,text,line_num
A Study In Scarlet,"occasionally in long walks, which appeared to take him into the",386
A Study In Scarlet,lowest portions of the City. Nothing could exceed his energy when the,387
A Study In Scarlet,working fit was upon him; but now and again a reaction would seize,388
A Study In Scarlet,"him, and for days on end he would lie upon the sofa in the",389
A Study In Scarlet,"sitting-room, hardly uttering a word or moving a muscle from morning",390
A Study In Scarlet,"to night. On these occasions I have noticed such a dreamy, vacant",391
A Study In Scarlet,"expression in his eyes, that I might have suspected him of being",392
A Study In Scarlet,"addicted to the use of some narcotic, had not the temperance and",393
A Study In Scarlet,cleanliness of his whole life forbidden such a notion.,394
A Study In Scarlet,,395
A Study In Scarlet,"As the weeks went by, my interest in him and my curiosity as to his",396
A Study In Scarlet,"aims in life, gradually deepened and increased. His very person and",397
A Study In Scarlet,appearance were such as to strike the attention of the most casual,398
A Study In Scarlet,"observer. In height he was rather over six feet, and so excessively",399
A Study In Scarlet,lean that he seemed to be considerably taller. His eyes were sharp,400
A Study In Scarlet,"and piercing, save during those intervals of torpor to which I have",401
A Study In Scarlet,"alluded; and his thin, hawk-like nose gave his whole expression an",402
A Study In Scarlet,"air of alertness and decision. His chin, too, had the prominence and",403
A Study In Scarlet,squareness which mark the man of determination. His hands were,404
A Study In Scarlet,"invariably blotted with ink and stained with chemicals, yet he was",405
A Study In Scarlet,"possessed of extraordinary delicacy of touch, as I frequently had",406
A Study In Scarlet,occasion to observe when I watched him manipulating his fragile,407
A Study In Scarlet,philosophical instruments.,408
A Study In Scarlet,,409
A Study In Scarlet,"The reader may set me down as a hopeless busybody, when I confess how",410
A Study In Scarlet,"much this man stimulated my curiosity, and how often I endeavoured to",411
A Study In Scarlet,break through the reticence which he showed on all that concerned,412
A Study In Scarlet,"himself. Before pronouncing judgment, however, be it remembered, how",413
A Study In Scarlet,"objectless was my life, and how little there was to engage my",414
A Study In Scarlet,attention. My health forbade me from venturing out unless the weather,415
A Study In Scarlet,"was exceptionally genial, and I had no friends who would call upon me",416
A Study In Scarlet,and break the monotony of my daily existence. Under these,417
A Study In Scarlet,"circumstances, I eagerly hailed the little mystery which hung around",418
A Study In Scarlet,"my companion, and spent much of my time in endeavouring to unravel",419
A Study In Scarlet,it.,420
A Study In Scarlet,,421
A Study In Scarlet,"He was not studying medicine. He had himself, in reply to a question,",422
A Study In Scarlet,confirmed Stamford's opinion upon that point. Neither did he appear,423
A Study In Scarlet,to have pursued any course of reading which might fit him for a,424
A Study In Scarlet,degree in science or any other recognized portal which would give him,425
A Study In Scarlet,an entrance into the learned world. Yet his zeal for certain studies,426
A Study In Scarlet,"was remarkable, and within eccentric limits his knowledge was so",427
A Study In Scarlet,extraordinarily ample and minute that his observations have fairly,428
A Study In Scarlet,astounded me. Surely no man would work so hard or attain such precise,429
A Study In Scarlet,information unless he had some definite end in view. Desultory,430
A Study In Scarlet,readers are seldom remarkable for the exactness of their learning. No,431
A Study In Scarlet,man burdens his mind with small matters unless he has some very good,432
